,path,class
231160,../../../data/PCam/png_images/213652_label=0.png,no
195953,../../../data/PCam/png_images/218324_label=1.png,yes
233766,../../../data/PCam/png_images/186709_label=0.png,no
252030,../../../data/PCam/png_images/51384_label=1.png,yes
877,../../../data/PCam/png_images/211111_label=1.png,yes
174417,../../../data/PCam/png_images/146268_label=0.png,no
268650,../../../data/PCam/png_images/60339_label=1.png,yes
128315,../../../data/PCam/png_images/149010_label=0.png,no
196163,../../../data/PCam/png_images/222779_label=0.png,no
271001,../../../data/PCam/png_images/227887_label=0.png,no
114862,../../../data/PCam/png_images/25091_label=0.png,no
249370,../../../data/PCam/png_images/179711_label=1.png,yes
10111,../../../data/PCam/png_images/251161_label=0.png,no
33979,../../../data/PCam/png_images/117866_label=1.png,yes
140912,../../../data/PCam/png_images/152059_label=0.png,no
166901,../../../data/PCam/png_images/211383_label=0.png,no
133910,../../../data/PCam/png_images/96493_label=0.png,no
191177,../../../data/PCam/png_images/10746_label=1.png,yes
43332,../../../data/PCam/png_images/62276_label=0.png,no
136079,../../../data/PCam/png_images/94326_label=1.png,yes
173885,../../../data/PCam/png_images/113239_label=0.png,no
23917,../../../data/PCam/png_images/73348_label=1.png,yes
14504,../../../data/PCam/png_images/179439_label=1.png,yes
137584,../../../data/PCam/png_images/129417_label=1.png,yes
266245,../../../data/PCam/png_images/223913_label=1.png,yes
76594,../../../data/PCam/png_images/98735_label=0.png,no
277830,../../../data/PCam/png_images/43940_label=1.png,yes
28889,../../../data/PCam/png_images/79147_label=1.png,yes
122032,../../../data/PCam/png_images/131389_label=0.png,no
15342,../../../data/PCam/png_images/207399_label=0.png,no
165249,../../../data/PCam/png_images/154477_label=1.png,yes
34493,../../../data/PCam/png_images/244452_label=0.png,no
62598,../../../data/PCam/png_images/172635_label=1.png,yes
35338,../../../data/PCam/png_images/18631_label=0.png,no
213811,../../../data/PCam/png_images/11035_label=0.png,no
79087,../../../data/PCam/png_images/163321_label=0.png,no
190576,../../../data/PCam/png_images/28568_label=1.png,yes
8412,../../../data/PCam/png_images/227598_label=0.png,no
171993,../../../data/PCam/png_images/113005_label=1.png,yes
16023,../../../data/PCam/png_images/65869_label=1.png,yes
39632,../../../data/PCam/png_images/131726_label=0.png,no
12825,../../../data/PCam/png_images/59461_label=1.png,yes
283132,../../../data/PCam/png_images/186866_label=1.png,yes
115630,../../../data/PCam/png_images/71903_label=0.png,no
96983,../../../data/PCam/png_images/251727_label=1.png,yes
